lat,lon,heat_flow_mw_m2,elevation,environment
5.3667,123.75,67.0,-4966.0,[offshore (continental)]
5.367,123.75,86.0,-4980.0,[offshore (continental)]
5.369827,111.88081,80.3,-184.0,[offshore (continental)]
5.369827,111.88081,80.3,-184.0,[offshore (continental)]
5.373252,111.90835,79.68818,-132.0,[offshore (continental)]
5.3817,114.772,65.0,-50.6,[offshore (continental)]
5.381944444,114.7708333,49.98942843,-54.0,[offshore (continental)]
5.381944444,114.7708333,49.98942843,-54.0,[offshore (continental)]
5.381944444,114.7708333,49.98942843,-54.0,[offshore (continental)]
5.390354,114.89892,43.32685473,-41.0,[offshore (continental)]
5.392532,114.76047,53.479785,-50.0,[offshore (continental)]
5.4,114.8629,41.91948648,-38.0,[offshore (continental)]
5.419604,111.94908,91.01453835,-138.0,[offshore (continental)]
5.427669,115.60101,43.11869436,0.0,[onshore (continental)]
5.427881,114.7125,50.56277213,-52.0,[offshore (continental)]
5.434241,114.71361,46.05937862,-50.0,[offshore (continental)]
5.437321,114.71504,38.73594312,-53.0,[offshore (continental)]
5.447434,114.97755,47.03219435,-34.0,[offshore (continental)]
5.457007,112.2685,51.28409186,-150.0,[offshore (continental)]
5.462202,111.95976,101.3505986,-138.0,[offshore (continental)]
5.482406,115.62827,29.6334599,0.0,[onshore (continental)]
5.488698,115.55982,30.5924816,0.0,[onshore (continental)]
5.507855,110.9496217,60.7,-733.0,[offshore (continental)]
5.570346,114.8368,49.10705697,-57.0,[offshore (continental)]
5.576247,114.8291,56.38615271,-57.0,[offshore (continental)]
5.584104,114.84351,48.05897068,-67.0,[offshore (continental)]
5.589314,110.80619,78.0953572,-608.0,[offshore (continental)]
5.590875,114.84084,28.47573851,-58.0,[offshore (continental)]
5.600058,115.77637,46.22002497,-27.0,[offshore (continental)]
5.603222,110.69227,70.8039112,-630.0,[offshore (continental)]
5.606998,114.88818,34.29487339,-50.0,[offshore (continental)]
5.608435,115.00796,36.55914642,-50.0,[offshore (continental)]
5.610101,114.8788,35.35139837,-20.0,[offshore (continental)]
5.61108,115.25547,60.28854778,-21.0,[offshore (continental)]
5.62160333,110.86844,54.6,-761.0,[offshore (continental)]
5.621995,110.7249767,53.9,-552.0,[offshore (continental)]
5.627343,114.89361,37.59932299,-38.0,[offshore (continental)]
5.635223,114.89829,57.50519168,-50.0,[offshore (continental)]
5.64224,114.90262,49.25284998,-50.0,[offshore (continental)]
